artist,topic_0,topic_1,topic_2,topic_3,topic_4,topic_5,topic_6,topic_7,topic_8,topic_9,topic_10,topic_11,topic_12,topic_13,topic_14,topic_15,topic_16,topic_17,topic_18,topic_19
LOUIS PASTEUR,0.6899081009223283,0.0001542613930363861,0.08340860323457765,0.00015954257421569803,0.0002746464797227408,0.000947348151964463,0.010392641854553686,0.03180994156441354,0.0001624286992758669,0.042398732995583485,0.00043567142846829155,0.018992217633900934,0.00012006861162769805,0.00011481571209619275,0.006304043935713065,0.00019724115945491706,0.0958846081418872,0.00012896007939095067,0.00014451699384895455,0.01806160843393998
ATL,0.2941453313157751,0.00017042646485640597,0.00036089980775231114,0.014478055412984322,0.08804906236741149,0.2378755793358309,0.000147210074250173,0.1377731933372908,0.012995290368275942,0.04566011752302077,0.09034517767368322,0.00017392881245893168,0.00013265061599982778,0.005097711817333121,0.046080306060278714,0.018612457383515985,0.005603407418834666,0.002015589003265005,0.00015966094729837128,0.00012394425988396628
RSA,0.003936409506820592,0.0008378883987476103,0.2617266192908563,0.0008665737744919989,0.001491763986687939,0.0051399208895496745,0.0007237468421344787,0.08761987884640277,0.0008822500871947419,0.03634608930009246,0.10896069617995455,0.484355780236802,0.000652166378175615,0.0006236346706569056,0.0014110022536983724,0.00107133784936274,0.001259457210670653,0.0007004614493311826,0.0007849605798337828,0.0006093622685356613
Dino MC47,0.14826685912811696,0.004019932587690872,0.0979402132507156,0.008389849369473476,0.02481704844584221,0.20822892715088678,0.009363658786002737,0.09082693757272807,0.0026101767466962817,0.00858692295262533,0.32408727421655853,0.03295573105958653,0.0024133914431703914,0.007080731033299229,0.019287165774038457,0.005753813133685944,0.0025928260247991045,0.0014270365430762494,0.00023819694170840947,0.0011133078392987794
Dino MC 47,0.3162276457955463,0.00019237138689719543,0.00040736107764796734,0.00019895726361061181,0.0003424966428848593,0.2030943192243114,0.00016616554116207497,0.09437346491669274,0.0002025564033686336,0.0002601076275888197,0.37460219991995447,0.0001963247057212077,0.00014973133564104475,0.00014318071821835086,0.0003239529335172354,0.0002459692195337928,0.0002891597697449712,0.00016081942942282042,0.00018021964997188704,0.008242996438563643
Centr,0.09986104710607796,0.0008692370798042859,0.06844142297605409,0.001007041470805114,0.01340714145450166,0.2315291036985052,0.0028102422492259256,0.09010421176709407,0.017873666899968773,0.08435133253430367,0.13393431185248125,0.19205747161332476,0.0052382353326441995,0.007950345716928936,0.0034365410368635664,0.0018303313937823354,0.0052583258413022175,0.006114926383410169,0.02982641102107362,0.004098652571848111
PANDAworld,0.0008929175315618843,0.00019448230834121633,0.0004118101913515055,0.00020114047867907445,0.00034625256441410494,0.0011727957282772605,0.0001679889033648448,0.0012662664013279902,0.0002047790976244032,0.0002629618287719681,0.0005487668456990074,0.00019847902080211296,0.00015137437123498944,0.0001447518676399246,0.0003275067588654399,0.000248668268820226,0.9927728373722132,0.00016258413309104742,0.000182197232752515,0.00014143909516731184
i61,0.24534060624646764,0.007227289436242736,0.002783044774656156,0.040978888484592114,0.3573478287095973,0.10126008898950459,0.007328723426657596,0.089646879779136,0.00021426118016850616,0.06793455981989552,0.02561510034808706,0.00020766938667581046,0.00015838359816791595,0.00015145444907999284,0.00034267420382295196,0.0002601826182656922,0.013158336510788718,0.002385335711885054,0.0001906336850888251,0.03746805864121987
IKBN - IRAQ,0.32135493128382125,0.008490087613758381,0.00018080420295157643,0.05521840699266533,0.006116999886470066,0.008463511392301785,7.374971157880684e-05,0.08940875687477066,8.990117361311522e-05,0.15278114647133065,0.13636607171499632,8.713534196872295e-05,6.645567308167929e-05,6.354829495537144e-05,0.0036587245474448515,0.00010916919755881791,0.05540440701524823,7.137693444760262e-05,7.998739015114204e-05,0.1619148282868856
PHARAOH,0.16478230952105008,0.0029790488828169105,0.0474595807078573,0.02914513035515096,0.015975552919227753,0.1586274000395786,0.0010513608846445658,0.06610269479662326,0.019028677598892655,0.031077050176871925,0.10573815801097378,0.009756319723133464,0.0009025149704079578,0.00518596559581408,0.007259189446176293,0.003722244546929929,0.2861039284230044,0.012204501118184979,0.03173004319286049,0.0011683290898005664
