artist,n_songs,n_tokens,ttr,hapax_ratio,mat_density,sentiment_lex,top_emotions,year_min,year_max
Баста aka,2,498,0.6224899598393574,0.4779116465863454,0.0,0.0,"fear:6,joy:6,sadness:6",,
Баста НоГГано,2,868,0.532258064516129,0.35714285714285715,0.0576036866359447,-0.0069124423963133645,"joy:14,anger:4,disgust:2",2009.0,2009.0
В.Высоцкий,2,624,0.5705128205128205,0.4391025641025641,0.003205128205128205,0.0,"sadness:4,anger:2",,
В.С. Высоцкий,2,590,0.5796610169491525,0.4406779661016949,0.0,0.003389830508474576,sadness:4,,
Вадим Мулерман,2,298,0.5625510204081632,0.4410204081632653,0.0,0.00760204081632653,"joy:12,anger:6,sadness:4",1966.0,1966.0
Вадим Сажин,2,545,0.6728317659352142,0.5160397074190177,0.0,0.019435736677115987,"joy:10,fear:4,sadness:3",,
ВиСтанция feat Drago,2,594,0.6060606060606061,0.4175084175084175,0.0,0.013468013468013467,"joy:14,sadness:10",,
Визбор,2,304,0.4342105263157895,0.20394736842105263,0.0,0.013157894736842105,joy:4,,
Витос,2,428,0.5348970251716247,0.3627479023646072,0.0,0.08047292143401982,"joy:20,fear:2",2003.0,2003.0
Витоса,2,1099,0.5504266783455762,0.41844172821319314,0.0,0.02292151905453918,"joy:14,sadness:6,anger:1",2015.0,2015.0
Витя,2,752,0.5964542436027787,0.46479484098487706,0.019186331738323605,0.012126102938562502,"joy:11,anger:3,disgust:1",,
Витя Ак 47,2,537,0.6250414593698176,0.5247374239911553,0.0024875621890547263,-0.03855721393034826,"joy:2,surprise:1",,
Гагарина Полина,2,204,0.3333333333333333,0.14705882352941177,0.0,0.0196078431372549,sadness:10,2005.0,2005.0
Геннадий Балахнин,2,572,0.6538461538461539,0.527972027972028,0.0034965034965034965,0.0,"sadness:6,disgust:2",,
Гриби,2,436,0.555045871559633,0.3577981651376147,0.0,0.013761467889908258,"joy:10,sadness:4",2016.0,2016.0
Давид Тухманов,2,302,0.4768211920529801,0.2980132450331126,0.0,0.019867549668874173,"joy:6,surprise:6",,
