node,community,degree,weighted_degree,song_count,corpus_artist
Elect,116,4,1.8203417315259736,1,True
KOt StYlE,116,4,1.8203417315259736,1,True
Lasha MC,116,6,1.7076097446751226,1,True
Stas Neiz,116,2,1.2781317965939059,1,True
Neiz,116,2,1.270876629516973,3,True
Daily,116,4,1.0154490225268105,1,True
Jerry aka Нелегальный,116,3,0.7787190897304426,1,True
ЗАПАС,116,1,0.2778845758723366,1,True
Dareen,117,0,0.0,1,True
Dead Hearted,118,0,0.0,1,True
Defro,119,0,0.0,1,True
Diamond Miners Gang,120,0,0.0,1,True
Domino,121,0,0.0,1,True
Don't Smoke,122,0,0.0,1,True
Dotsfam (ex Многоточие),123,0,0.0,1,True
FCKN BEST,124,0,0.0,1,True
G-Nise и Алексей Кабанов,125,0,0.0,1,True
GOA,126,0,0.0,1,True
George Thorogood And The Destroyers,127,0,0.0,1,True
Ginex - DoN-A,128,0,0.0,1,True
Google Тёлка,129,1,0.9999999999999998,1,True
слушай экзорцист,129,1,0.9999999999999998,1,True
Greenaleх - Пати для Богатеньких\Нет Денег,130,0,0.0,1,True
Grime,131,0,0.0,1,True
"H1GH ""Клетка""",132,0,0.0,1,True
HOMIE – Безумно можно быть первым,133,0,0.0,1,True
HULIGAN,134,0,0.0,1,True
Habib Hakimov,135,0,0.0,1,True
Horus,136,0,0.0,1,True
I.B.,137,0,0.0,1,True
Integra,138,0,0.0,1,True
Jamal TGK,139,0,0.0,1,True
Jencarlos,140,1,0.6760920318252888,1,True
NATALIA OREIRO,140,1,0.6760920318252888,1,True
K'Maro,141,0,0.0,1,True
KILLJOY | RHYME TIME inc.,142,0,0.0,1,True
KReeD,143,0,0.0,1,True
KRiceT,144,0,0.0,1,True
Kid,145,0,0.0,1,True
LIL PUMP,146,0,0.0,1,True
LIN,147,0,0.0,1,True
Lebron,148,0,0.0,1,True
┴═╦╕ АК 47,149,0,0.0,1,True
Loc Dog,150,0,0.0,1,True
Loc- Dog,151,1,1.0000000000000004,1,True
[Loc-Dog,151,1,1.0000000000000004,1,True
Long Star,152,0,0.0,1,True
Loqiemean,153,0,0.0,1,True
Louis Armstrong,154,0,0.0,1,True
Lustral,155,0,0.0,1,True
Lx24,156,0,0.0,1,True
MC NO LIMIT,157,1,0.9999999999999989,1,True
No Limit,157,1,0.9999999999999989,1,True
MC Молодой,158,0,0.0,1,True
MC-Нэмэр,159,0,0.0,1,True
"MSI, GTi, ST, Многоточие, FC Dinamo",160,0,0.0,1,True
Mezza Morta,161,0,0.0,1,True
Moonlight H.S,162,0,0.0,1,True
MuDvAyNe,163,0,0.0,1,True
NHK World,164,0,0.0,1,True
Nasty Nay,165,1,0.49366745570513204,1,True
dom1No,165,1,0.49366745570513204,1,True
Nebo7,166,0,0.0,1,True
OSLIKt,167,0,0.0,1,True
OST Кисло,168,0,0.0,1,True
Pimp Schwab,169,0,0.0,1,True
R e d e m a,170,0,0.0,1,True
RC,171,0,0.0,1,True
RSA,172,0,0.0,1,True
Radiohead,173,0,0.0,1,True
Rate1.2,174,0,0.0,1,True
Regina Spektor,175,0,0.0,1,True
RipBeat,176,0,0.0,1,True
Ronan Keating,177,0,0.0,1,True
Rotoff,178,0,0.0,1,True
RusKey,179,0,0.0,1,True
SD AND SCHOKK,180,1,0.9999999999999998,1,True
✵ Бек✵,180,1,0.9999999999999998,1,True
SKVerniy_hhiu_r 2_,181,0,0.0,1,True
ST,182,0,0.0,1,True
Sandy Fish,183,0,0.0,1,True
Slot,184,2,1.999999999999999,1,True
Пальчики,184,2,1.999999999999999,1,True
Слот,184,2,1.999999999999999,1,True
StilRyder,185,0,0.0,1,True
Summer of Haze,186,0,0.0,1,True
Super Rags,187,0,0.0,1,True
T9,188,0,0.0,1,True
Tony Gun,189,0,0.0,1,True
Toto Cutugno,190,0,0.0,1,True
VCrash,191,0,0.0,1,True
VOICE OF SATURN,192,0,0.0,1,True
Vol'naya Dusha,193,0,0.0,1,True
Vomut,194,0,0.0,1,True
White Hot Ice feat. Многоточие,195,1,0.7742971213131643,1,True
White hot ice feat Многоточие,195,1,0.7742971213131643,1,True
[METEORA],196,0,0.0,1,True
nightcore,197,0,0.0,1,True
polusplus.com,198,0,0.0,1,True
sted.d,199,0,0.0,1,True
storm in life ♛,200,0,0.0,1,True
youhate,201,0,0.0,1,True
«Полкино»,202,0,0.0,1,True
ιllιlι.ιl,203,0,0.0,1,True
А. Грейчайник,204,1,0.9999999999999999,1,True
Андрей Грейчайник,204,1,0.9999999999999999,1,True
Абубакирова Гульфарида,205,3,2.956773480075541,1,True
Гөлфәридә Әбүбәкерова,205,3,2.956773480075541,1,True
Алина Булатова,205,3,2.9537504238203116,1,True
Гаяр Нуриманов,205,3,2.8863256217538935,1,True
Авеню,206,0,0.0,1,True
Агата Кристи,207,1,0.9947034165550476,1,True
Агата Кристи - Чудеса,207,1,0.9947034165550476,1,True
Агния Барто,208,0,0.0,1,True
Айгуль Бариева,209,1,0.9999999999999999,1,True
Лилия Биктимирова,209,1,0.9999999999999999,1,True
не услышанный лирик,210,0,0.0,1,True
Александр Шуров,211,0,0.0,1,True
Алексей Гоман,212,0,0.0,1,True
Аля Кумар,213,0,0.0,1,True
Андрей Климнюк,214,0,0.0,1,True
Андрей Макаревич,215,0,0.0,1,True
Армейские Песни,216,1,0.9218661758350957,1,True
Дворовые песни,216,1,0.9218661758350957,1,True
Армейские песни под гитару,217,0,0.0,1,True
Артиллеия,218,1,1.0,1,True
РВиА,218,1,1.0,1,True
Ас Вентура,219,0,0.0,1,True
Ассорти,220,0,0.0,1,True
БАРТО,221,1,0.9076712007604912,1,True
Враги,221,1,0.9076712007604912,1,True
Бабич Анжела,222,0,0.0,1,True
Балабама,223,0,0.0,1,True
Балахнин Геннадий,224,0,0.0,1,True
Бей,225,0,0.0,1,True
Белки на акации,226,0,0.0,1,True
Белый Аликорн,227,0,0.0,1,True
Билли Бро,228,0,0.0,1,True
Блондин,229,0,0.0,1,True
Большая разница,230,0,0.0,1,True
Братья Карамазовы,231,0,0.0,1,True
Брутто,232,0,0.0,1,True
ВИТОС,233,0,0.0,1,True
Вадяра Блюз,234,0,0.0,1,True
Валдай,235,0,0.0,1,True
Василий Лавров,236,1,0.9163849392671882,1,True
Лавров Василий,236,1,0.9163849392671882,1,True
Вечера Насильной Поэзии,237,0,0.0,1,True
Виктор Малолетний,238,0,0.0,1,True
Витек,239,0,0.0,1,True
Витя,240,0,0.0,1,True
Витя АК 47,241,0,0.0,1,True
Витя Ак,242,0,0.0,1,True
Витя Ак 47,243,0,0.0,1,True
Владимир Высоцкий,244,0,0.0,1,True
Волин Виталий,245,0,0.0,1,True
ГИМН РУССКОГО РАДИО,246,0,0.0,1,True
Гайтана,247,0,0.0,1,True
Гарри Топор,248,0,0.0,1,True
Гимн ВДВ,249,2,1.95427446602813,1,True
Голубые молнии,249,2,1.95427446602813,1,True
Голубые Береты,249,2,1.908548932056259,1,True
Глеб Романов,250,0,0.0,1,True
"Гр. ""Они""",251,0,0.0,1,True
Грозный,252,0,0.0,1,True
Две Причины,253,0,0.0,1,True
Дино,254,0,0.0,1,True
Дмитрий Авилов,255,0,0.0,1,True
Ева Польна,256,0,0.0,1,True
Женщины деревни Кеба (Лешуконский,257,0,0.0,1,True
Зи,258,0,0.0,1,True
Зиннур,259,0,0.0,1,True
Ивангай,260,0,0.0,1,True
Иезекииль 25:17 Feat. Многоточие,261,0,0.0,1,True
"Из к/ф ""Снежная любовь",262,0,0.0,1,True
Иллет - Сопряжение сфер,263,0,0.0,1,True
История России. ХХ век,264,0,0.0,1,True
К.Никольский,265,0,0.0,1,True
КОЈЕКУДА,266,1,0.4669533004920421,1,True
СИЛЕН Radio Beograd 2 -,266,1,0.4669533004920421,1,True
Каратели Сиона,267,0,0.0,1,True
Каспийский Груз,268,2,1.9174317106105425,1,True
я дура миша,268,2,1.9174317106105425,1,True
Миша Fint,268,2,1.834863421221084,1,True
Каста - Влади - Что Нам Делать в Греции?,269,0,0.0,1,True
Кемикэл Депазитз,270,0,0.0,1,True
Кендра,271,0,0.0,1,True
Коньяк,272,0,0.0,1,True
Кравц,273,0,0.0,1,True
Красное Дерево,274,0,0.0,1,True
Крек,275,0,0.0,1,True
Крестная Семья,276,0,0.0,1,True
Эмир Камалиев,277,2,0.6534398718930429,1,True
КрэФ,277,1,0.45159744788285205,1,True
Фархетдинова Зайнап,277,2,0.4488610641398493,1,True
Айсылу Мухамадиева,277,1,0.24701864012965843,1,True
Купэ,278,0,0.0,1,True
Л.П.П.Л,279,0,0.0,1,True
Левон,280,1,1.0,1,True
➨ Levon,280,1,1.0,1,True
Леонид Сергеев,281,0,0.0,1,True
Лион,282,0,0.0,1,True
Луперкаль,283,0,0.0,1,True
Людмила Зыкина dnb mix,284,1,0.2124896724724586,1,True
Хор,284,1,0.2124896724724586,1,True
Ляляля,285,0,0.0,1,True
Ляпис Трубецкой,286,0,0.0,1,True
Лёша Маэстро,287,0,0.0,1,True
М8Л8Tx,288,1,0.9520068230850431,1,True
Молотх,288,1,0.9520068230850431,1,True
МНОГОТОЧИЕ,289,0,0.0,1,True
Маевский Сергей,290,0,0.0,1,True
Максим Ак-47,291,0,0.0,1,True
Марго Сирин,292,0,0.0,1,True
Мария Чайковская,293,0,0.0,1,True
Маркул,294,2,1.9804809018966942,1,True
Хайд,294,2,1.9804809018966942,1,True
"Хайд ""Нерв""",294,2,1.9609618037933882,1,True
"Марьяж ""Декорации""",295,0,0.0,1,True
Мельница--Сонный рыцарь-,296,0,0.0,1,True
Мирко Саблич,297,0,0.0,1,True
Михаил Михайлов,298,0,0.0,1,True
Мишари Рашид Аль-Афаси,299,0,0.0,1,True
Многоточие (DotsFam),300,0,0.0,1,True
Многоточие (White Hot Ice),301,0,0.0,1,True
Многоточие Band,302,0,0.0,1,True
Многоточие.,303,0,0.0,1,True
Моя Дерзкая Правда,304,0,0.0,1,True
Feduk,305,10,2.4571749515906376,15,True
ND Production,305,3,1.6893156942874248,1,True
(AlljЭлджей),305,3,1.6859835234392186,1,True
Элджей,305,3,1.3679114628021973,18,True
†.чЁ за трЕк.†,305,2,1.1411477674080945,1,True
Музыкальная жизнь™,305,2,1.1320821627994075,1,True
Мультфильмы детские,306,0,0.0,1,True
Муровей,307,0,0.0,1,True
Мытарь,308,0,0.0,1,True
Мэф (Ю.Г.) и L. Beeatch (Многоточие),309,0,0.0,1,True
Наречена_Михайло Хома,310,0,0.0,1,True
Наталья Барсукова,311,0,0.0,1,True
Наташа,312,0,0.0,1,True
Не Предел feat. Многоточие,313,1,0.9760496585878725,1,True
✿Не Предел feat. Многоточие,313,1,0.9760496585878725,1,True
"Нее, это не Многоточие. Это DSB",314,0,0.0,1,True
Неизвестный,315,0,0.0,1,True
НоГГано feat Витя ак-47,316,0,0.0,1,True
Нюрнберг,317,0,0.0,1,True
ОСП - С.Белоголовцев,318,0,0.0,1,True
Оксана Дроздова.,319,0,0.0,1,True
Ольга Арефьева,320,0,0.0,1,True
Оратория,321,0,0.0,1,True
Пабло Прекрати,322,0,0.0,1,True
Павел Пиковский,323,0,0.0,1,True
Пацантрэ,324,1,0.21988471315879804,1,True
ФИЗТЕХпесня,324,1,0.21988471315879804,1,True
Песни Фанатов ЦСКА,325,1,1.0,1,True
Фанаты ЦСКА,325,1,1.0,1,True
Песочные люди,326,0,0.0,1,True
Петя OST,327,1,1.0,1,True
Хатико,327,1,1.0,1,True
Пика,328,0,0.0,1,True
Пикачушь,329,0,0.0,1,True
Пилот,330,0,0.0,1,True
