node,community,degree,weighted_degree,song_count,corpus_artist
ТГК,158,5,5.0,24,True
Восточный округ,158,3,5.0,22,True
Витя Ак,158,2,4.0,1,True
TRIAGRUTRIKA,158,4,4.0,2,True
Лёша Маэстро,158,3,4.0,1,True
АК47,158,2,3.0,0,False
ТГК — ПНП,158,2,2.0,0,False
Триагрутрика  &amp; Айк Дым,158,2,2.0,0,False
VibeTGK,158,2,2.0,0,False
Jahmal TGK — Александр,158,2,2.0,0,False
Jahmal TGK,158,2,2.0,0,False
VibeTGK — Фром Москоу,158,2,2.0,0,False
12 ТРИАГРУТРИКА,158,1,1.0,1,True
ТРИАГРУТРИКА ],158,1,1.0,1,True
163ONMYNECK — Винрар,158,1,1.0,0,False
Taj Mahal   Максп Птаха Ноггано ST 25/17 Хаак Смоки Мо,158,1,1.0,0,False
Dead Василь,158,1,1.0,0,False
Tony Tonite,158,1,1.0,0,False
Авеню,159,0,0.0,1,True
[I love [Music ❤ ],160,0,0.0,1,True
Big Black Boots,161,0,0.0,3,True
EK-Playaz,162,0,0.0,9,True
Клоунеско,163,0,0.0,3,True
Ek Playaz,164,0,0.0,2,True
Mrs. DvaTree,165,0,0.0,1,True
Jerry aka Нелегальный,166,0,0.0,1,True
Neiz,167,0,0.0,3,True
Stas Neiz,168,0,0.0,1,True
DJ Хобот,169,0,0.0,1,True
ака47 ek playaz,170,0,0.0,1,True
EK Playaz п.у. Клоунеско,171,0,0.0,1,True
Децл,172,3,3.0,18,True
MC Молодой Для загрузки воспользуйтесь ссылкой - ://musontakte.ru/Децл.html,172,1,1.0,0,False
Lil'Kong,172,1,1.0,0,False
D.Masta - Быть свободным,172,1,1.0,0,False
MC Молодой,173,0,0.0,1,True
ОСП - С.Белоголовцев,174,0,0.0,1,True
Странник Стк,175,0,0.0,1,True
Йорш,176,0,0.0,2,True
Ginex - DoN-A,177,0,0.0,1,True
Многоточие (White Hot Ice),178,0,0.0,1,True
Витек,179,1,1.0,1,True
Смоки Мо и Fuze,179,1,1.0,0,False
˜”*°•.☆ааааааааа!!!,180,0,0.0,1,True
Chernikovskaya Hata,181,0,0.0,1,True
черниковская хата,182,0,0.0,1,True
MEOW!,183,0,0.0,1,True
Моя Дерзкая Правда,184,0,0.0,1,True
про Красную Шапочку,185,0,0.0,1,True
Детские песни,186,0,0.0,4,True
Красная шапочка,187,0,0.0,5,True
DJ Little Red Riding Hood,188,0,0.0,1,True
Солдат Семёнов,189,0,0.0,1,True
из к/ф,190,0,0.0,1,True
Ас Вентура,191,0,0.0,1,True
к/ф Красная Шапочка,192,0,0.0,2,True
Песня Красной Шапочки,193,0,0.0,1,True
Марго Сирин,194,0,0.0,1,True
Игорь Растеряев,195,0,0.0,2,True
Песни из детских фильмов,196,0,0.0,1,True
Красная шапка,197,0,0.0,1,True
:)),198,0,0.0,1,True
Буерак,199,0,0.0,10,True
Птаха,200,5,5.0,23,True
RusKey,200,1,1.0,1,True
Slim - Что успеем,200,1,1.0,0,False
Легенды Про,200,1,1.0,0,False
Абандон - На измене,200,1,1.0,0,False
Guf &amp; Птаха,200,1,1.0,0,False
Скрябін,201,0,0.0,1,True
Ассаи,202,0,0.0,13,True
Любовь,203,0,0.0,1,True
Крек,204,0,0.0,1,True
ღ Крек,205,0,0.0,1,True
Триада,206,0,0.0,19,True
Vol'naya Dusha,207,1,1.0,1,True
Ассаи-Антон,207,1,1.0,0,False
Давид Тухманов,208,0,0.0,2,True
Апина,209,0,0.0,1,True
Дюна,210,0,0.0,2,True
Перевалов Геннадий,211,0,0.0,1,True
5'nizza - Белые рубашки,212,0,0.0,1,True
Алёна Апина,213,0,0.0,2,True
5'nizza,214,0,0.0,1,True
Андрей Макаревич,215,0,0.0,1,True
Раиса Неменова,216,0,0.0,1,True
Нюрнберг,217,0,0.0,1,True
Алена Апина,218,0,0.0,3,True
Зимавсегда,219,0,0.0,2,True
К.Никольский,220,0,0.0,1,True
Владимир Трошин,221,0,0.0,1,True
Сергей Бабкин,222,0,0.0,1,True
Узелок,223,0,0.0,10,True
Грибы,224,0,0.0,15,True
Гриби,225,0,0.0,2,True
Ми типа гриби,226,0,0.0,1,True
Балахнин Геннадий,227,0,0.0,1,True
Pimp Schwab,228,0,0.0,1,True
Хор,229,0,0.0,1,True
слушай экзорцист,230,0,0.0,1,True
Майя Кристалинская,231,0,0.0,2,True
Алла Пугачева,232,0,0.0,1,True
Кристаллинская Майя,233,0,0.0,1,True
Людмила Зыкина dnb mix,234,0,0.0,1,True
Мультфильмы детские,235,0,0.0,1,True
Ольга Арефьева,236,0,0.0,1,True
Google Тёлка,237,0,0.0,1,True
Ирина Туманова,238,0,0.0,2,True
NHK World,239,0,0.0,1,True
OST Кисло,240,0,0.0,1,True
Дмитрий Авилов,241,0,0.0,1,True
Lasha MC,242,0,0.0,1,True
ЗАПАС,243,0,0.0,1,True
Соня Мармеладова,244,0,0.0,2,True
Билли Бро,245,0,0.0,1,True
KILLJOY | RHYME TIME inc.,246,1,1.0,1,True
Double time,246,1,1.0,0,False
FCKN BEST,247,0,0.0,1,True
Гнойный,248,0,0.0,1,True
youhate,249,0,0.0,1,True
Flowdan,250,0,0.0,1,True
Redo,251,0,0.0,1,True
Grime,252,1,1.0,1,True
Новый День,252,1,1.0,0,False
Eminem,253,0,0.0,4,True
Radiohead,254,0,0.0,1,True
Bassnectar,255,0,0.0,1,True
Ronan Keating,256,0,0.0,1,True
MuDvAyNe,257,0,0.0,1,True
George Thorogood And The Destroyers,258,0,0.0,1,True
Bones,259,0,0.0,1,True
СТЕПАНЕНКО Pump,260,0,0.0,1,True
Dead Hearted,261,0,0.0,1,True
LIL PUMP,262,0,0.0,1,True
Многоточие (Третий Путь),263,0,0.0,1,True
Jamal TGK,264,0,0.0,1,True
Патриотические. Русские народные военные песни.,265,0,0.0,1,True
Русский,266,0,0.0,12,True
Русская Императорская армія,267,0,0.0,1,True
Русские Знаки,268,0,0.0,1,True
Русские народные песни - Хор Валаамского Монастыря,269,0,0.0,1,True
Русские романсы,270,0,0.0,1,True
ГИМН РУССКОГО РАДИО,271,0,0.0,1,True
Каспийский Груз,272,0,0.0,1,True
Песни Фанатов ЦСКА,273,0,0.0,1,True
Фанаты ЦСКА,274,0,0.0,1,True
История России. ХХ век,275,0,0.0,1,True
я дура миша,276,0,0.0,1,True
Оратория,277,0,0.0,1,True
Мирко Саблич,278,0,0.0,1,True
Миша Fint,279,0,0.0,1,True
Каратель,280,0,0.0,12,True
Каратели Сиона,281,0,0.0,1,True
ЦеРН,282,0,0.0,1,True
Армейские песни под гитару,283,0,0.0,1,True
Цыганский Барон Олександр Набок,284,0,0.0,1,True
Витос,285,0,0.0,4,True
Ресторатор,286,0,0.0,1,True
Can4eZ,287,0,0.0,1,True
Пика,288,0,0.0,1,True
Rigos,289,0,0.0,1,True
Витоса,290,0,0.0,2,True
RC,291,0,0.0,1,True
Коньяк,292,0,0.0,1,True
SKVerniy_hhiu_r 2_,293,0,0.0,1,True
Вообще,294,1,1.0,11,True
"Navai — Привет, ну как ты там вообще",294,1,1.0,0,False
Rotoff,295,0,0.0,2,True
Billy's Band,296,0,0.0,1,True
БьЯНК@,297,0,0.0,1,True
Пилот,298,0,0.0,1,True
Волин Виталий,299,0,0.0,1,True
группа Весна,300,0,0.0,1,True
Ивангай,301,0,0.0,1,True
тбили,302,0,0.0,1,True
Пикачушь,303,0,0.0,1,True
◘ Легенды Про,304,0,0.0,1,True
Кравц,305,0,0.0,1,True
Светлана Разина,306,0,0.0,1,True
207. Soulkast,307,0,0.0,1,True
Смоки Мо,308,2,2.0,31,True
Onyx,308,2,2.0,7,True
Fredro Starr  vs Кто Сказал ft. Смоки Мо - Capella Remix,308,2,2.0,0,False
Крип-а-Крип,308,1,1.0,0,False
Fredro Starr  vs Кто Сказал ft. Смоки Мо,308,1,1.0,0,False
Soulkast,309,0,0.0,1,True
Аля Кудряшева,310,0,0.0,2,True
Loc- Dog,311,0,0.0,1,True
Полюса,312,0,0.0,4,True
[Loc-Dog,313,0,0.0,1,True
Армия брат,314,0,0.0,2,True
Наташа,315,0,0.0,1,True
Любэ,316,0,0.0,5,True
Армейская,317,0,0.0,1,True
ФИЗТЕХпесня,318,0,0.0,1,True
Хай Хэт,319,0,0.0,1,True
Игорь Белый,320,0,0.0,2,True
Аля Кудряшова,321,0,0.0,1,True
Л.П.П.Л,322,0,0.0,1,True
Виктор Малолетний,323,0,0.0,1,True
Эдуард Эдуаши,324,0,0.0,1,True
D1sH,325,0,0.0,1,True
Артиллеия,326,0,0.0,1,True
РВиА,327,0,0.0,1,True
Батарея,328,0,0.0,10,True
Вадим Сажин,329,0,0.0,3,True
Праздничный хор,330,0,0.0,1,True
Хор Минского Свято-Елисаветинского монастыря. ),331,0,0.0,1,True
Светлана Копылова,332,0,0.0,1,True
Святитель Иоанн Златоуст,333,0,0.0,1,True
Мытарь,334,0,0.0,1,True
Голубые молнии,335,0,0.0,1,True
Ваня Воробей,336,0,0.0,3,True
Lx24,337,0,0.0,1,True
Андрей Климнюк,338,0,0.0,1,True
Крестная Семья,339,0,0.0,1,True
StilRyder,340,0,0.0,1,True
Голубые Береты,341,0,0.0,1,True
ШИРЯЕВ ОЛЕГ,342,0,0.0,1,True
Гимн ВДВ,343,0,0.0,1,True
Маевский Сергей,344,0,0.0,1,True
Воробей,345,0,0.0,1,True
ЗОЖ,346,0,0.0,1,True
